Moriori,English
a,really
a-a,yes
aeho,time/occasion
ahi,fire
ahu,heap/mound
ake,tree
aki,thrust
ako,teach/teaching/counseling
akonei,today
aitu,god
amimio,giddy
amio,encircle
ana,cave
angaanga,head
aniniwa,rainbow
anu,quiver
ao,day/dawn
apo,tomorrow
apopo,henceforth
ara,rise up
arai,barricade
arere,roof of mouth
arero,tongue
ariki,chief
aro,kidney
aroha,love
arowa,sold of foot
aru,chase
aruhe,fern root
ata,morning
ate,liver
atea,to be clear
atee,leisure
Atua,God
Au,I
auahi,smoke
aue,lament
autaa,moan
awa,river/creek/stream
awe,soot
awhe,come around
awi,assist
a ye!,beware!
e-e,yes
ehei,evening
ehi,fire
eituu,god
enake,all/together/both of
eriki,chief
etachu,patron spirit
Etua,God
ewe,womb
hana,cave
hanu,cool
hara,flax
hau,quiver
he ao,cloud
hee?,where?
hihine,woman
ho,fasten
hou,to lash
hokohe,condemn
hokorere,abandon/avoid
hokorongo,listen
hokopeke,bend (of the arm)
horo,hurt
iara,in front of
karapuna,ancestors
Mangere,Mangere Island
Maori,Māori
Moriori,Moriori
Motuchuchara,Fourty-Fours (island group)
Motuhope,Star Keys (island group)
Owenga,Owenga (town on the Chatham Islands)
pepe,flax
pokai,encircle
pu,cool
Rangatira,South East Island
Rangiaotea,Pitt Island
Rangitatahi,The Sisters (island group)
Rekohu,Chatham Islands
roto,lake
tanga,leisure
Tapuaenuku,Little Mangere Island
Tarakoikoia,The Pyramid (island)
te,the
Te Awanui,Middle Sister Island
Waitangi,Waitangi (main port of the Chatham Islands)
waro,in front of
wha,four
whaitiri,thunder
whangai,feed
whara,injured
wharau,ship
whare,house/hut
whariu,turn
whawha,take
whai,fish/stingray
whanau,family
whanaunga,relatives/related
whane,go
whani,go
whano,go
whao,chisel
whao,place inside
whata,raft
whati,break/break off
whatu,kidney
whee?,where?
wheke,cuttlefish
whekii,black fern tree
whengu,snuffle
whewhe,boil
whinee,woman
